# 3D point list with one line of data per point
#  POINT_ID, X, Y, Z, R, G, B, ERROR
119 24.233967 5.505851 -4.237123 134 128 120 0
120 23.679153 6.120036 -4.325024 150 142 132 0
121 23.710798 6.142064 -4.346695 148 139 130 0
122 23.600536 6.242193 -4.299755 143 130 122 0
123 23.766880 6.184010 -4.323658 128 119 106 0
124 23.889198 6.225211 -4.337996 134 123 113 0
125 24.207077 6.462357 -4.297598 130 122 113 0
126 24.534771 7.167067 -4.305394 140 132 121 0
127 20.977222 3.289748 -4.069989 148 142 132 0
128 21.084341 3.246574 -4.069479 136 132 119 0
129 21.257122 3.260145 -4.105716 130 128 116 0
130 20.927002 3.379201 -4.052192 110 118 98 0
131 21.043211 3.369344 -4.097726 149 140 132 0
132 21.197344 3.390481 -4.145970 137 131 117 0
133 20.955757 3.515521 -4.082534 151 147 135 0
134 21.080919 3.528013 -4.136707 138 133 121 0
135 21.196398 3.528875 -4.159825 147 137 128 0
136 21.345556 3.492337 -4.166250 141 134 125 0
137 20.873337 3.640736 -4.052717 146 140 129 0
138 21.178156 3.625589 -4.166684 149 141 133 0
139 20.915226 3.844754 -4.056590 127 129 113 0
140 21.068377 3.872700 -4.076409 148 142 132 0
141 20.787682 3.950803 -4.074550 140 131 118 0
142 20.931038 3.935427 -4.088700 159 151 139 0
143 21.037600 3.969750 -4.093912 153 140 133 0
144 21.174116 4.003026 -4.140120 153 140 134 0
145 24.067739 5.418744 -4.150164 69 84 57 0
146 23.787176 5.651825 -4.065088 68 83 61 0
147 23.447546 5.826037 -4.134043 138 140 132 0
148 23.599075 5.846810 -4.063736 63 78 46 0
149 23.529291 5.915690 -4.114521 149 141 132 0
150 23.636951 5.927430 -4.120011 134 128 116 0
151 23.747604 5.942642 -4.116866 103 106 90 0
152 23.806946 6.021570 -4.136831 49 64 39 0
153 23.855076 6.011911 -4.132959 144 134 122 0
154 12.168165 -0.459715 -3.920703 168 171 166 0
155 12.345570 -0.466239 -3.945079 130 126 120 0
156 13.442901 1.788754 -3.990438 147 139 127 0
157 14.680046 2.451914 -3.910001 174 175 167 0
158 14.744574 2.463492 -3.924543 158 149 148 0
159 14.927580 2.490965 -3.954744 160 159 157 0
160 16.220446 2.774165 -3.931333 74 95 45 0
161 14.907631 3.038750 -3.912784 160 149 138 0
162 20.942717 3.133918 -3.971810 113 116 94 0
163 20.793215 3.266623 -3.952441 139 130 124 0
164 20.927729 3.245771 -3.953431 134 127 115 0
165 21.047974 3.239205 -3.987187 136 129 119 0
166 21.187134 3.251434 -4.030550 144 136 129 0
167 20.661060 3.391085 -3.934930 142 142 128 0
168 20.806187 3.367589 -3.955635 138 132 120 0
169 20.920053 3.373613 -3.956681 137 131 121 0
170 21.024380 3.368338 -3.966295 132 129 115 0
171 20.646240 3.527730 -3.927259 131 126 117 0
172 20.756180 3.506969 -3.948399 145 141 132 0
173 20.926523 3.493159 -3.965872 148 140 130 0
174 21.043547 3.451141 -3.960078 138 137 127 0
175 20.654696 3.642872 -3.934097 138 132 120 0
176 20.764208 3.700616 -3.946270 140 133 125 0
177 20.881618 3.704833 -3.959914 130 127 113 0
178 20.675335 3.852214 -3.932586 153 146 137 0
179 20.791304 3.852035 -3.959208 152 143 136 0
180 20.917168 3.840086 -3.968163 137 129 122 0
181 21.096102 3.822154 -3.933378 136 129 117 0
182 21.225866 3.853657 -3.925822 132 126 113 0
183 21.341129 3.871171 -3.919468 100 103 83 0
184 20.807066 3.951262 -3.995339 148 139 129 0
185 20.916355 3.943868 -3.983884 139 134 126 0
186 21.075905 3.961071 -3.948128 136 129 122 0
187 21.225014 3.967653 -3.928628 135 129 121 0
188 21.377728 3.977914 -3.941166 127 122 109 0
189 21.478642 4.005576 -3.936372 146 136 127 0
190 21.286259 4.060513 -3.940148 131 129 124 0
191 21.414955 4.088199 -3.927953 136 130 123 0
192 21.536476 4.089741 -3.938286 131 125 115 0
193 21.683432 4.148660 -3.938825 136 127 115 0
194 21.807423 4.167088 -3.941959 125 119 102 0
195 21.678547 4.240638 -3.924689 131 126 115 0
196 21.791084 4.239829 -3.935680 133 129 116 0
197 23.675030 5.613650 -3.962089 61 76 46 0
198 23.749037 5.636705 -3.965840 61 77 43 0
199 23.850542 5.666722 -4.037859 59 71 41 0
200 13.842101 6.260900 -3.961916 148 134 130 0
201 13.408233 6.394857 -3.939680 141 142 134 0
202 12.774414 -0.865801 -3.869848 149 140 135 0
203 13.485168 1.811582 -3.776720 156 151 151 0
204 13.709136 1.835092 -3.800406 147 138 132 0
205 13.872404 1.860154 -3.856858 148 145 142 0
206 14.735002 2.479034 -3.877115 154 154 150 0
207 16.138933 2.726288 -3.822442 108 106 87 0
208 16.313622 2.785246 -3.798643 159 151 143 0
209 16.425959 2.795084 -3.791554 148 148 140 0
210 16.543791 2.829935 -3.870672 155 142 135 0
211 20.344969 3.087485 -3.760080 150 146 121 0
212 20.457369 3.147527 -3.762119 138 131 118 0
213 20.614016 3.113386 -3.802467 153 147 130 0
214 20.718122 3.105701 -3.820840 148 146 125 0
215 20.963238 3.133504 -3.894586 152 146 125 0
216 20.490955 3.231271 -3.771043 134 126 115 0
217 20.610174 3.233910 -3.792943 136 129 118 0
218 20.783758 3.233853 -3.857892 142 133 119 0
219 20.891741 3.238345 -3.887832 138 126 114 0
220 21.127136 3.246979 -3.899908 68 88 43 0
221 20.516352 3.305888 -3.759540 133 127 117 0
222 20.642258 3.369715 -3.787502 130 127 115 0
223 20.773819 3.386463 -3.839193 134 130 117 0
224 20.900211 3.395079 -3.871878 132 126 112 0
225 21.008926 3.431992 -3.872197 130 127 112 0
226 20.527855 3.532043 -3.847430 140 134 123 0
227 20.637094 3.533413 -3.848497 140 134 124 0
228 20.769386 3.521095 -3.824019 132 127 116 0
229 20.891367 3.529684 -3.817505 135 131 120 0
230 20.652205 3.642469 -3.861877 138 130 120 0
231 20.774023 3.656224 -3.852090 141 133 122 0
232 20.919645 3.673330 -3.814199 143 138 124 0
233 21.061865 3.698432 -3.793342 141 138 124 0
234 21.190414 3.719747 -3.790130 142 139 127 0
235 21.341185 3.748462 -3.821740 145 144 132 0
236 20.966311 3.751165 -3.885592 144 135 120 0
237 21.081877 3.794570 -3.816627 139 132 122 0
238 21.214653 3.845352 -3.827527 134 129 118 0
239 21.345524 3.866292 -3.847768 138 132 121 0
240 21.467918 3.893319 -3.757047 152 148 123 0
241 21.071819 3.926842 -3.879017 106 110 86 0
242 21.246063 3.944879 -3.861273 134 129 118 0
243 21.389830 3.972321 -3.817002 136 130 120 0
244 21.489513 4.001352 -3.813928 131 127 114 0
245 21.641451 4.024192 -3.882502 142 139 133 0
246 21.422987 4.116190 -3.755953 140 137 123 0
247 21.534416 4.120593 -3.795712 129 127 114 0
248 21.656286 4.151210 -3.839917 135 131 119 0
249 21.776855 4.148357 -3.862670 109 112 90 0
250 21.412312 4.279002 -3.811376 141 134 126 0
251 21.541576 4.276225 -3.810282 128 126 113 0
252 21.675636 4.241277 -3.849236 138 135 123 0
253 21.767569 4.242439 -3.875736 141 136 126 0
254 21.552660 4.401055 -3.774320 128 123 112 0
255 21.663084 4.431154 -3.785102 113 113 100 0
256 21.775124 4.466555 -3.781272 132 128 117 0
257 22.908669 4.884561 -3.770554 62 82 42 0
258 23.002693 4.915509 -3.788132 63 82 44 0
259 13.314631 4.971880 -3.785283 159 147 139 0
260 23.129734 4.986118 -3.794133 56 74 40 0
261 23.578726 5.567729 -3.888942 60 69 30 0
262 23.704647 5.617333 -3.882789 56 70 36 0
263 23.927622 6.340396 -3.791380 69 77 45 0
264 23.699627 7.928889 -3.877441 59 75 43 0
265 11.596684 -1.755205 -3.688507 153 152 147 0
266 11.681961 -0.493016 -3.697609 148 141 135 0
267 11.735470 -0.491351 -3.708646 149 143 139 0
268 13.476319 1.798223 -3.619191 144 138 136 0
269 20.338287 3.109539 -3.719543 142 134 123 0
270 20.475924 3.122963 -3.690250 140 134 120 0
271 20.613670 3.112367 -3.676566 119 124 99 0
272 20.750179 3.071086 -3.721928 65 88 47 0
273 13.140150 3.170990 -3.606175 155 146 141 0
274 20.240723 3.172309 -3.685287 148 137 126 0
275 20.349800 3.206291 -3.680612 140 132 121 0
276 20.462200 3.234541 -3.677616 138 133 122 0
277 20.629620 3.224941 -3.647231 123 125 113 0
278 20.749214 3.213336 -3.643016 117 123 103 0
279 20.876762 3.247855 -3.652378 106 117 99 0
280 20.399759 3.439495 -3.701885 138 136 130 0
281 20.514206 3.341341 -3.679682 134 131 119 0
282 20.615952 3.384813 -3.663395 131 129 119 0
283 20.723337 3.378759 -3.664791 130 131 120 0
284 20.513142 3.476666 -3.655174 124 124 107 0
285 20.624006 3.504978 -3.650989 134 133 119 0
286 20.746815 3.559153 -3.687201 134 132 115 0
287 20.686470 3.609941 -3.622650 141 130 118 0
288 20.808182 3.643589 -3.657949 125 123 107 0
289 20.928055 3.687812 -3.685216 132 130 116 0
290 21.052805 3.727594 -3.693483 126 127 112 0
291 21.186329 3.721181 -3.738439 136 131 120 0
292 20.946489 3.768467 -3.680840 134 136 121 0
293 21.087431 3.778561 -3.676949 119 124 105 0
294 21.234264 3.829331 -3.679873 112 120 96 0
295 21.364052 3.876044 -3.674626 95 107 76 0
296 21.457687 3.898270 -3.678792 92 109 73 0
297 21.287840 3.917933 -3.629722 76 88 37 0
298 21.400459 3.966733 -3.671010 85 97 63 0
299 21.485180 3.999929 -3.688371 88 101 71 0
300 21.428568 4.126864 -3.666383 86 101 71 0
301 21.509514 4.127092 -3.674338 85 98 67 0
302 21.620512 4.147566 -3.645121 70 86 47 0
303 12.533744 4.341708 -3.616298 147 147 141 0
304 21.429657 4.261492 -3.650845 81 99 70 0
305 21.519968 4.273844 -3.661373 77 95 64 0
306 21.642941 4.242696 -3.615828 72 89 51 0
307 21.789722 4.280255 -3.623628 75 91 44 0
308 21.536581 4.386094 -3.707951 90 103 81 0
309 21.641006 4.415507 -3.712789 74 93 66 0
310 21.709599 4.532247 -3.609927 56 73 38 0
311 21.812866 4.566425 -3.621224 55 70 40 0
312 13.114558 4.882599 -3.715559 162 151 143 0
313 13.937402 4.866819 -3.727504 159 156 149 0
314 23.941540 6.323490 -3.733768 73 82 47 0
315 14.672276 6.929657 -3.604374 173 158 154 0
316 25.290512 9.520937 -3.715643 69 86 56 0
317 25.494291 9.589735 -3.686010 73 85 56 0
318 25.542345 9.618363 -3.723579 68 85 57 0
319 13.555911 2.240967 -3.488315 139 137 129 0
320 13.446289 2.305391 -3.469534 170 169 165 0
321 13.555751 2.319866 -3.464304 158 147 143 0
322 15.105171 2.394274 -3.456044 151 139 132 0
323 14.461859 2.689554 -3.485285 144 135 124 0
324 14.520527 2.701633 -3.468164 142 133 125 0
325 14.579893 2.716707 -3.478655 149 137 129 0
326 20.361097 3.066399 -3.511427 67 86 37 0
327 20.472395 3.109143 -3.505782 71 91 46 0
328 20.591055 3.124755 -3.556903 73 89 54 0
329 13.020484 3.176122 -3.534055 150 140 138 0
330 13.102917 3.175244 -3.581531 157 146 140 0
331 20.340900 3.203905 -3.584886 72 93 67 0
332 20.521387 3.223778 -3.487490 68 87 52 0
333 20.606586 3.230897 -3.537204 80 97 72 0
334 20.741539 3.233174 -3.579720 83 101 81 0
335 20.527868 3.347337 -3.525737 68 88 53 0
336 20.631933 3.383664 -3.526005 78 93 65 0
337 20.728750 3.403245 -3.521804 71 87 52 0
338 13.263595 3.537628 -3.491041 160 162 163 0
339 20.539761 3.504890 -3.580660 121 126 107 0
340 20.636349 3.513237 -3.549441 85 100 78 0
341 20.767418 3.553142 -3.510001 64 84 51 0
342 20.903488 3.580695 -3.489696 60 79 45 0
343 21.011784 3.596957 -3.457079 55 70 40 0
344 13.610263 3.708305 -3.485784 153 143 134 0
345 13.689798 3.738602 -3.518309 151 147 137 0
346 20.666372 3.608263 -3.578658 119 121 108 0
347 20.778532 3.626818 -3.549699 78 95 64 0
348 20.926165 3.661345 -3.511587 72 90 54 0
349 21.039457 3.720877 -3.522383 71 91 53 0
350 13.727100 3.763466 -3.507568 148 141 133 0
351 20.997162 3.781541 -3.593432 72 89 51 0
352 21.083883 3.793049 -3.507998 70 91 52 0
353 21.218826 3.849971 -3.540878 72 90 50 0
354 21.336573 3.879753 -3.575354 73 90 49 0
355 21.146441 3.901889 -3.468643 91 99 64 0
356 21.246946 3.936471 -3.494432 72 89 49 0
357 21.366590 3.969807 -3.555394 69 86 43 0
358 21.475985 4.024165 -3.555448 66 83 45 0
359 21.439138 4.103054 -3.557299 66 82 45 0
360 21.529263 4.119820 -3.555221 66 84 45 0
361 21.636478 4.146762 -3.544991 62 80 44 0
362 21.799894 4.151330 -3.557757 65 84 49 0
363 12.375686 4.291499 -3.522781 161 148 138 0
364 13.158149 4.305201 -3.553611 164 163 161 0
365 13.332471 4.343881 -3.580364 147 144 137 0
366 21.438122 4.249863 -3.549438 74 93 49 0
367 21.528301 4.276080 -3.560784 69 88 46 0
368 21.664875 4.269708 -3.557722 71 87 46 0
369 21.807617 4.285284 -3.548573 71 90 48 0
370 21.972334 4.332024 -3.583860 76 95 43 0
371 12.527335 4.350654 -3.582283 147 129 126 0
372 21.561047 4.442766 -3.532588 59 78 43 0
373 21.695414 4.452136 -3.519231 61 81 44 0
374 21.789213 4.470353 -3.508316 60 77 44 0
375 21.719612 4.519271 -3.542915 57 75 41 0
376 21.815861 4.532903 -3.531848 59 76 43 0
377 21.986341 4.598516 -3.508932 64 81 46 0
378 22.100731 4.628554 -3.511701 66 83 47 0
379 22.042681 4.701428 -3.574296 74 92 58 0
380 22.103212 4.661532 -3.547966 67 88 44 0
381 14.034256 4.875712 -3.493585 149 140 131 0
382 14.179736 4.861123 -3.495553 139 134 127 0
383 14.304659 4.891618 -3.506656 117 123 105 0
384 23.779488 6.539219 -3.472814 78 93 54 0
385 23.928076 6.561424 -3.489034 76 90 53 0
386 24.032118 6.583980 -3.516475 83 95 55 0
387 23.968521 6.639090 -3.480132 77 89 54 0
388 24.057306 6.644463 -3.506159 76 88 51 0
389 24.167469 6.664661 -3.519769 76 91 53 0
390 14.542474 6.874866 -3.583419 170 159 147 0
391 14.608707 6.898152 -3.530035 167 154 146 0
392 14.631101 6.916916 -3.553847 166 154 147 0
393 14.721301 6.918956 -3.562220 179 163 154 0
394 24.219364 8.166044 -3.463297 98 91 73 0
395 24.350323 8.214909 -3.477606 89 86 65 0
396 24.272501 8.252838 -3.505678 116 98 75 0
397 24.383581 8.317285 -3.527016 99 91 69 0
398 24.513718 8.361571 -3.501376 86 84 60 0
399 24.265640 8.926046 -3.516970 107 96 69 0
400 24.327848 8.958841 -3.552405 97 93 62 0
401 24.258844 9.012655 -3.548436 69 79 42 0
402 24.365959 9.065373 -3.551423 76 85 53 0
403 24.929104 9.023298 -3.577872 77 67 60 0
404 11.649669 -10.491436 -3.346000 167 156 151 0
405 13.753086 -10.089684 -3.384050 144 140 143 0
406 13.849047 -10.071141 -3.440499 163 164 172 0
407 10.368857 -0.154227 -3.336919 146 139 138 0
408 10.104836 -0.081449 -3.307608 154 148 146 0
409 10.315073 0.017942 -3.336602 140 136 130 0
410 10.368410 0.023482 -3.333548 157 148 141 0
411 13.470154 2.193038 -3.351863 156 153 153 0
412 13.591797 2.233646 -3.349593 155 151 145 0
413 13.937362 2.240789 -3.322917 147 140 139 0
414 14.023078 2.245029 -3.357642 148 141 136 0
415 13.418633 2.285852 -3.416768 166 167 157 0
416 13.551963 2.272118 -3.404100 152 148 143 0
417 13.722610 2.267577 -3.355676 151 142 135 0
418 13.918645 2.279212 -3.344828 149 139 133 0
419 14.021486 2.270411 -3.351685 150 142 136 0
420 14.142205 2.291779 -3.408727 155 143 137 0
421 14.827126 2.354782 -3.365841 149 142 134 0
